date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-02-09,979839.1544344563,1001750.6675319406,995786.87559597,974801.3430962833,995990.4018169405,967217.8813415382,977668.4799751593
2022-02-10,969978.5553667683,981250.151864979,987357.7147784192,959975.9733605655,984609.7132335665,946068.7516730092,963278.1796722487
2022-02-11,950191.3540575642,966121.7250957224,964018.8045438154,944323.2472253116,973163.8506198885,930975.0275936597,949514.9112779916
2022-02-14,946484.4456141132,959007.4611873361,960085.6374574926,940077.6367211612,966029.0816570284,932406.0057060618,944816.5453329857
2022-02-15,963503.0688631672,968590.0313548776,981663.3646417118,952675.3095116885,975019.6235881808,944938.4132418341,956369.6219167059
2022-02-16,961957.7536661762,966953.8523959848,982888.950319927,950764.5515771182,975451.30857811,946807.5515327555,954878.0294469929
2022-02-17,942790.9295046467,947483.1519336435,960334.7374050749,931014.6016106876,967970.8165241244,936056.7084439222,937869.9939264826
2022-02-18,934904.8552782673,941659.8776378366,948961.2065293081,924851.2690758975,964388.9910694124,930724.8415932052,931505.3740515938
2022-02-22,911747.8739283222,938486.9837054941,929295.3187899091,907396.4783044131,956502.4113460543,920372.2366311491,918315.0171135431
2022-02-23,895890.2682840961,927174.9428500864,914388.6518009146,894630.6371484073,944700.7377201082,901252.8219031859,905609.0108913311
2022-02-24,905700.313347115,933411.986818287,930233.2627328031,896446.5701318057,932946.5811306002,909580.6900674072,908125.6119301158
2022-02-25,925526.1681635517,961246.573827717,948722.4667438657,920844.2534051212,959613.0043369295,930430.5757200861,930946.9493831636
2022-02-28,926074.609981789,959017.2910136911,953704.5038758391,917290.1375451358,948488.0756603243,927028.4002015443,926405.4780831301
2022-03-01,903026.796474709,950672.8811549875,927449.6064716413,898180.5330071719,931337.7130962374,914228.2491706782,910069.5748483124
2022-03-02,914790.04835154,965980.5790576669,942455.3853674848,915506.4419122012,942814.7909084322,926387.8829882274,926371.3111308278
2022-03-03,901764.3362009663,964135.953893635,922018.7081065901,911931.073442963,939842.5804706576,923297.5215492585,923728.4290363336
2022-03-04,890079.6143076557,966794.8190746042,902713.3342761915,907581.9701104434,936508.0943561556,913804.4477619615,918812.2146034476
2022-03-07,858099.1129648823,946849.5175037119,865118.3708026425,885390.5266442569,912454.9279094698,891648.7585392921,897015.8857194713
2022-03-08,851858.2721407551,931187.7758922311,865432.8076803281,880576.2529778751,899742.8588100435,871943.8919682754,891966.2835047968
2022-03-09,872247.9573404926,951102.3485049936,892903.8730742643,901431.1533532413,913832.5208202364,898059.1066425575,909831.7728602878
2022-03-10,872488.2714769978,947926.4940891,893248.3978015821,897635.6928124698,910484.4189449312,878409.9878241745,906765.4938928623
2022-03-11,869112.3701441425,944459.158731434,884401.9951324537,891955.9861474307,906325.4138904574,862418.5798165962,900482.054696644
2022-03-14,868209.504928841,945126.7826137277,879142.8712940748,894628.1528802188,911825.9527736666,855325.2278458598,900510.754936578
2022-03-15,888518.2143137592,965434.6743449899,901617.3403148573,911475.3076653751,931079.2602497103,884919.2405515863,916886.2918360664
2022-03-16,910111.6552584309,975864.361265156,929445.3327712095,925842.8345666202,945563.8732982638,898839.5149182753,931065.8503771758
2022-03-17,923533.1111338276,987202.9592647287,938833.0810442503,939587.9764733585,953705.1088825228,902608.2772707844,942481.9858160682
2022-03-18,936572.6247637409,992830.3204288217,952215.2233617856,948312.1056390079,954831.613151169,913499.2899687749,949976.0284662647
2022-03-21,921974.8212816853,990121.2972011301,938816.5177877729,940120.9146447452,949347.5073467257,916384.0685442558,944456.2889879092
2022-03-22,933486.3445818562,995094.4375705454,955464.1618196791,946570.634279755,957085.0064579012,929912.5729767599,951411.8604698202
2022-03-23,914835.6109316486,984917.4462222788,939277.7295735853,931507.2180199893,945957.7402034762,926291.2927769073,939140.1845452761
2022-03-24,923510.7257654804,999130.2356967661,951689.981998863,939594.380800751,956529.4613262179,938387.9499133741,948691.6243953134
2022-03-25,924524.8611300129,1002448.5344028207,954094.3206192587,942812.6094689639,961996.0672870638,943170.6375395234,952881.8594256782
2022-03-28,930465.2917025227,1009616.7731075021,960250.6532052266,944644.215731171,964751.3926845553,953317.3419327927,955468.981054015
2022-03-29,943663.4582522053,1015574.6574649545,975029.5880740621,953432.2948022159,972893.0140644076,967456.9721181011,964715.9250251334
2022-03-30,936439.4599344868,1019479.8638133737,973868.5323957021,950547.8903222354,978033.6548686983,961419.2190911331,962928.8567519091
2022-03-31,921625.103744759,1005259.7609157297,958062.6140798223,936208.0669884952,963895.940608597,946916.146320275,947882.8243004112
2022-04-01,925207.0065233845,1010901.3014621469,960217.2053716237,939779.454805878,968523.4248348238,952378.8976656755,951707.3362733313
2022-04-04,931232.1272928852,1013247.8719157907,967504.5312846105,941905.0372033389,967005.0590778353,963000.3265236279,954539.3666157715
2022-04-05,916671.5425379414,1011154.5714511606,943143.4691261023,933316.7720361026,964798.0172458651,954065.0370762247,946866.8358067474
2022-04-06,906033.9752123493,1015259.6993579599,924746.7783337438,929206.1943230899,973547.0784259798,942788.3403332874,942912.4894150783
2022-04-07,907474.9963343281,1019922.8213252756,924347.635386936,931163.2574181827,978659.5329776766,949521.987622642,945292.1493090349
2022-04-08,905720.2153895039,1021004.8611621591,916379.6263981436,937332.9855981143,982617.9428745272,944458.403840455,949051.8807403898
2022-04-11,895227.1801798481,1008008.5307101938,905299.7894130972,928302.5436578067,975015.3045688631,924477.3641512392,937762.0263572071
2022-04-12,892781.2133791584,1002661.4019031259,904506.0730799673,924816.3963952335,970885.407569504,924346.2557947993,935364.3263124347
2022-04-13,905868.9229128498,1010429.6462230417,923007.1126581915,934164.4978661807,975900.669540024,935511.1059165131,944773.3583052754
2022-04-14,898713.3256304401,1002260.5122890207,911972.1732997014,934375.200686005,971991.4777408602,916819.1395983794,941674.8257348766
2022-04-18,895191.8620646137,999202.1202678415,908275.5837372853,933094.0751672061,970465.4320941927,913640.3756742787,940594.0566996475
2022-04-19,913940.4536593098,1008044.9450206491,923161.007950775,945757.9608941348,986295.874618149,927545.2571207995,954247.4441753
