date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
7/16/2020,94.15634918,223.8913269,149.9949951,91.38270569,178.6999969,126.6279144,184.690094,40.45731735,73.36560822,118.4953537,193.251236,232.9109497,140.4944305,96.96581268,52.71994019,132.7105408,89.41551208,40.53795242,173.2912445,112.3246078,66.59563446,196.5165558,92.77959442,112.3257523,109.701828,288.9618225,187.7246857,44.40300369,41.33618164
7/17/2020,93.96613312,226.7513733,148.0984955,90.30113983,175.6600037,126.047821,186.950058,41.31453705,72.39414215,117.7214584,190.3164978,234.9866486,142.2565765,97.82592773,53.48658752,132.7994537,87.7614975,41.12647629,173.7995148,111.8556976,66.98983002,195.5142975,91.84474945,113.1090317,108.4819031,288.3785095,189.2672272,44.81694031,41.19235229
7/20/2020,95.94635773,228.9359131,159.8419952,89.18161774,174.4199982,123.9577942,194.2277374,41.50896454,70.79999542,116.8681946,190.5865631,234.7971344,140.7789154,98.8111496,54.51174545,133.0217438,86.99259949,40.51159668,173.9175415,109.4342422,66.60402679,203.9177399,91.24375916,112.7579041,108.1268539,285.4902954,192.5463409,44.47464752,41.10794067
7/21/2020,94.62213898,226.2688446,156.914505,91.39221191,178.6300049,125.0994949,189.9567261,41.55314636,75.88143921,117.6916962,190.8656158,236.8277435,142.0362701,98.56874084,54.11059189,133.1462708,88.8790741,41.46025848,175.1609955,110.4350204,66.16788483,201.1711731,93.82892609,112.6048431,109.6290131,287.0426025,190.6157227,44.45076752,41.37683487
7/22/2020,94.8879776,225.4529877,154.9954987,91.59143066,179.7899933,126.1214828,190.4644623,41.44709015,75.59082794,118.0984802,185.4462738,239.3095398,141.8986206,100.6095657,54.42260361,133.3863068,88.23534393,42.58460999,180.2802887,111.0718765,66.07561493,204.0622711,94.35359192,113.568222,111.2859039,288.5478821,192.9247131,44.37912369,41.48002243
7/23/2020,90.56900024,221.2944794,149.3274994,91.71478271,176.4499969,125.771637,187.7066956,41.89780426,75.5659256,117.19561,182.7636108,238.0821533,141.0909882,99.56179047,53.84316635,133.0306396,88.49462891,42.40892792,179.309082,111.4777985,65.47171783,195.1866302,93.77168274,114.3029861,107.9811859,285.0293884,191.5373688,44.45872498,41.16109085
7/24/2020,90.34464264,217.5571136,150.4454956,90.44347382,173.7599945,126.6739426,187.6569214,41.00522614,74.83525085,116.6895981,181.3682709,239.4358826,137.144516,98.35762024,45.0981102,131.70578,87.86878204,42.59339523,180.3710175,111.8627243,64.66654205,193.9916382,93.89569092,114.1217957,107.6807632,282.9784546,189.3254242,45.25476074,41.03601837
7/27/2020,92.48583221,222.5314941,152.760498,90.87988281,170.2100067,128.800827,190.1160126,41.70338058,75.59082794,115.399765,182.7636108,241.3401031,138.3651428,98.68602753,44.18882751,130.8699188,86.63494873,42.58460999,182.6674347,114.2421799,66.20142365,196.4490967,92.73188019,114.4479446,106.1786118,280.9181213,191.0329437,45.2706871,41.02663422
7/28/2020,90.9664917,223.952713,150.0164948,89.58010101,170.8399963,127.0882797,188.6624603,40.89918137,73.98834229,115.2707901,181.5032959,239.4087982,139.5123749,97.32549286,43.89465714,130.5587006,87.01047516,42.32108688,178.1200256,108.7064209,66.83887482,194.6855011,91.83518219,115.8613358,104.7220154,282.1693726,190.867981,45.75626755,41.19861603
7/29/2020,92.71018982,218.3203735,151.6764984,91.73374939,166.0099945,129.3900604,192.754303,41.27919006,74.78543854,114.7052536,182.3675232,238.8492737,141.8710938,97.99013519,42.85166931,130.3008423,89.12047577,42.18054962,178.0927734,109.3502655,66.55370331,196.6514587,92.50293732,116.2509308,106.3789063,288.5195923,192.6530914,45.73238754,40.86403656
