date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-03-11,909204.7957400283,915721.669956833,881759.5098986403,900439.1860215457,879739.1351362648,862418.4650517202,900482.054696644
2022-03-14,916030.8389605483,917315.5324598848,880474.0884379393,899244.4017579348,877318.6179243508,855325.2645665894,900510.754936578
2022-03-15,934684.8951586684,935294.5859571992,900056.2268211485,917789.7221238406,896548.3215681496,884919.1791035789,916886.2918360664
2022-03-16,943597.8007372817,948542.9077879487,915790.9198112914,936017.51535199,916477.1304098549,898839.3952244576,931065.8503771758
2022-03-17,956114.4361361464,961332.7747999727,926058.6086260268,950375.3045098574,929050.7195021096,902608.3409023329,942481.9858160682
2022-03-18,962865.9300250014,969840.215420395,932775.4417131621,959745.0117547305,940812.1099783364,913499.21701019,949976.0284662647
2022-03-21,961076.6599291762,965269.344654709,925828.2514127318,952319.2863671572,935559.7839399758,916383.9415058387,944456.2889879092
2022-03-22,966078.9451464614,971775.0817915498,932692.0310660369,961936.3193528445,945480.0322920266,929912.5743008736,951411.8604698202
2022-03-23,952180.1592654189,959540.647602707,922059.2268576018,947199.4293572695,931735.1163832131,926291.179821579,939140.1845452761
2022-03-24,961282.9480456313,968909.8552977144,934604.6911138884,956789.601075867,939694.4952627602,938387.8388960911,948691.6243953134
2022-03-25,968700.6231707534,973180.9418913423,936008.2885759474,962276.2565018923,943750.4909979287,943170.6349358594,952881.8594256782
2022-03-28,973607.3873232802,976459.5134703218,936281.4918630645,964563.0031220706,949774.222885746,953317.272137936,955468.981054015
2022-03-29,981949.8817767104,984410.2175413667,943409.2653539702,977433.6000649722,962849.6515585366,967456.8775392496,964715.9250251334
2022-03-30,978896.2703494033,983598.3937651216,942581.9169118926,974702.8898141177,955400.4825521889,961419.1579355258,962928.8567519091
2022-03-31,968418.8149203261,968005.0375868379,924467.6780431792,959218.3497483523,941262.5156217995,946916.1403728734,947882.8243004112
2022-04-01,976883.0993899306,971782.3849302827,927007.6414831206,961385.8073022158,943996.7452856484,952379.0207323981,951707.3362733313
2022-04-04,978503.3621462783,975743.4770704805,929142.9647558257,965323.6932465823,951419.606114048,963000.2079449517,954539.3666157715
2022-04-05,971809.2646883925,968158.570713669,924541.9716680571,950838.6174981387,938159.8262220803,954064.9736260638,946866.8358067474
2022-04-06,970258.4558047255,963886.2771879731,922527.6158559844,945157.4190842898,922979.5712439003,942788.2452429308,942912.4894150783
2022-04-07,969543.2899264296,966897.5269285737,925750.3325918242,943797.833295563,921549.0097738686,949521.9164845815,945292.1493090349
2022-04-08,972505.2878283461,970811.6929899751,934786.5456121489,942439.7022645266,921271.5016638222,944458.3542798143,949051.8807403898
2022-04-11,963639.6392611464,956055.9349485933,923593.417499356,933638.238877991,908362.3197180214,924477.3582721578,937762.0263572071
2022-04-12,957346.4810046157,953911.7768446504,923100.0042837188,932092.8530633242,903975.8035398903,924346.1386833147,935364.3263124347
2022-04-13,963623.4480761489,965260.4396330415,933082.2736700103,942402.6914307864,914388.815048832,935511.1142415272,944773.3583052754
2022-04-14,959488.4973849257,963121.6052977144,924576.4078863189,940302.8597428591,911297.774536747,916819.0439132415,941674.8257348766
2022-04-18,956780.1272677382,961356.9306990205,926187.2535284087,933062.923051575,913059.9861036721,913640.2620843918,940594.0566996475
2022-04-19,962588.2303179702,974620.4102827607,939446.5527990386,949392.6377274783,931225.1549726906,927545.1576805741,954247.4441753
2022-04-20,972696.5041293105,982039.4687773286,949573.6645772979,944566.1398064883,935227.6211553994,937544.5016744802,961069.6278754225
2022-04-21,965506.6256274184,971082.1234251558,937221.6381567046,934413.879049042,922636.4599691811,930858.8844080932,951010.0571107443
2022-04-22,943008.5263155898,942733.4485212861,907861.8037908599,912940.6756112368,893531.8871809426,912919.2712582136,924185.9928615671
2022-04-25,952740.7224749526,949970.6167646943,913947.6005564391,921638.148492554,902064.6385847512,923758.5765613499,930693.0205936523
2022-04-26,934214.2946795424,925685.044918686,890866.4222727477,898075.9464432986,874667.7619329873,896638.6273492826,908572.5156662309
2022-04-27,939412.1010406836,928540.2413755952,887651.5896255729,891430.5124680789,885626.8754660073,906535.9135570057,910260.3631099691
2022-04-28,950091.7041824682,944120.5161482393,909149.2381660697,899420.7717225344,905360.45941605,934904.1114886833,927055.7435193491
2022-04-29,923221.9900253637,919199.1279264985,880914.2318630301,873965.6286790164,870085.157425541,906336.2050278751,901384.6089086639
2022-05-02,918240.2648285254,921426.2131697236,882805.9065657737,873676.0924508364,874532.0405851784,908140.7621667128,903688.5548363185
2022-05-03,918015.3989837988,922191.2296263276,886185.6387389075,876915.6782319339,873704.1857916298,903917.1552962377,905527.8302126607
2022-05-04,939530.1859634741,947405.8054930269,910423.0053515441,899529.8005578311,899009.5069891396,926339.6324430706,931010.0899110183
2022-05-05,913302.6315964087,915936.9295317231,877231.9613413818,871745.1665932925,865453.6510321083,890886.9044972421,901952.053652502
2022-05-06,911088.4513481482,912051.9522062837,878160.5948009688,864852.1560685427,858849.628342289,893486.9517893479,899256.9644548896
2022-05-09,900568.6863907202,889639.201206833,859347.4093287322,848201.4893357547,837753.3101774636,873618.4018491601,881389.835085688
2022-05-10,902605.8121956213,889533.8593107759,858992.458653958,847323.2807137759,835255.8943411293,880841.2045051286,879067.5756715995
2022-05-11,897506.9245766028,879578.160694748,843430.9164323851,836965.9642159732,825223.6042448464,852585.0148941883,870139.6143671761
2022-05-12,897109.7854050024,874644.2930265962,835367.3764314696,835233.5610024722,820239.2026602211,839001.9280255765,867302.1173123674
2022-05-13,907137.8825043066,888452.1161085664,851589.7456941649,848150.7196404727,838261.2857557717,856523.1209337772,880049.3972129608
2022-05-16,908752.4469421728,890392.950626999,849990.3860139891,845469.8069207461,835925.952397007,857141.2226349707,880780.8433278502
2022-05-17,921375.003807865,906354.516995102,866801.9142885252,861922.9379136355,851515.6406485024,867995.6738091593,892566.2551872268
2022-05-18,897197.7433517798,874383.8708540498,831953.6830339476,834851.9866616519,819602.3170668068,819513.1126433602,860735.7757510853
2022-05-19,878317.5430153235,868204.6067549287,832940.2897996947,825997.5764443667,812002.4689527932,804478.8854683663,854259.3616082631
2022-05-20,885112.1597832068,866734.7628294526,833757.1336641356,825786.6095902713,809483.4736257973,804641.9171412444,854499.0769456166
2022-05-23,903216.0286835058,885345.2552458345,850059.0932207152,841643.6838204653,829498.8975225869,829724.257245811,871400.5115749435
2022-05-24,904977.4709251745,885489.7266279756,849328.8053865477,836383.1019494326,824534.2708021584,829224.6780973508,872722.909296855
2022-05-25,908088.4825294836,892410.1717039644,852439.6366930052,843362.0390183718,831948.3538366738,826664.1482942043,877961.6597594756
2022-05-26,918295.1236732824,907509.3619581758,868949.0551500365,857041.708169678,848556.8213316384,838796.7594033079,892090.6512111775
2022-05-27,932202.8040779455,924403.296871811,885173.1265306517,873825.0269639285,866235.1765219155,861611.8918777832,907828.4961128942
2022-05-31,928542.2476471289,917999.5980497896,876015.7436570708,872741.0042779238,864910.793312687,856984.491665138,901737.485192043
2022-06-01,927042.1804893835,911479.011250168,867734.3613862578,872325.5370843203,865472.6754042092,852212.2071514865,896902.4514378275
2022-06-02,937369.5928543432,924114.8458754121,878739.4830598418,888360.9113023074,881111.5875975075,862469.8829061189,908793.9175171504
2022-06-03,928350.2211273535,915559.8761259614,863515.5123185698,878541.0114724429,870786.0656820717,844188.9662099476,899265.9845302972
2022-06-06,928503.5100639685,915569.951420456,867945.8623628203,876955.6079613955,871597.518047947,843291.250335701,899705.5082047153
2022-06-07,936919.4877937658,924301.4195829927,876167.2050065581,884129.5651185305,878306.1831823769,855182.7473313359,906931.4086132427
2022-06-08,930038.9757049902,918098.3950392305,865259.5301179473,879144.6826035769,871769.0840498391,847816.1649587553,899572.1204229267
2022-06-09,910955.6518715246,900369.1183363496,848567.6598617446,858586.8690163882,849760.6735197487,826704.4218399022,882130.3012759854
2022-06-10,894087.3420532568,876434.9064833223,823139.4799034011,835559.5725648196,819823.137150425,804477.372421819,858076.7668551044
2022-06-13,871501.1924522741,848718.1830336152,800771.5302116286,809361.8458611758,792431.9213835183,776415.1578118139,834131.2000034988
2022-06-14,864245.5615280493,845362.5745588838,795284.3619575087,805748.2288300784,788480.6838346901,770456.2240366822,829978.9586240943
2022-06-15,869754.3446014746,854753.176182419,807270.5939885909,818577.4879853518,800440.113636631,779027.9482212899,838280.1613554823
2022-06-16,850029.5891502722,831704.5170179902,790756.1704895064,798478.9466264041,776984.3090025368,764452.7907180837,818013.4185921794
2022-06-17,857315.2542961462,832491.2819487153,786372.8418647811,806652.8655755313,779495.3062216225,767569.5495055105,816966.8165092528
2022-06-21,872683.5054481848,850665.3711363374,811029.6421424911,814424.0449082644,793907.7323233071,790224.2685321834,834500.476423983
2022-06-22,876038.7371986731,847322.1575056611,815200.5509368941,815892.5559174807,790260.3494917336,793432.1943634228,833212.5189899922
2022-06-23,883861.075871311,850695.9319731294,825352.0922424361,821161.3339326174,797559.110474247,812596.0537983018,838521.5167065464
2022-06-24,909221.7715004309,871645.68927446,843600.2737991378,849453.0879113467,827080.2983061257,831481.3382427592,861025.784842228
2022-06-27,904236.2243355139,870649.2628065645,846763.320620732,842115.098378876,820061.3257948342,826577.779246138,859319.623912056
2022-06-28,888125.3881004675,856685.2409483491,838288.4351226852,826325.0041558535,801671.3603445473,805824.8923713797,845891.4649859807
