date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2/10/2022,169.7482758,209.7597198,159.0034943,188.4150543,218.75,192.9761505,216.707962,50.28524399,122.3630295,150.969223,343.3691711,330.6733704,180.8483734,119.3055649,45.66120911,156.5501099,144.2380371,56.50547791,241.3109741,117.397934,70.80167389,295.3259277,139.7764587,147.583313,162.7619324,467.9273987,221.2258148,45.14287186,43.56239319
2/11/2022,166.3162689,209.191391,153.2935028,184.8493195,212.3000031,191.2371063,206.9811249,49.39630508,124.8545532,148.3002625,336.4103699,326.2033691,176.3589935,118.5639114,44.51173401,154.9700317,142.3604889,55.50204086,239.7045288,117.250946,70.87567139,288.1571655,135.2980347,146.7570038,162.1294708,459.6691284,220.3432007,45.38117981,43.32229996
2/14/2022,166.552948,207.3514862,155.1670074,185.3697205,210.0399933,189.9542236,205.4877472,48.73645401,122.9296875,149.6694794,333.7973022,327.3860474,176.0760498,116.2943115,44.46500778,153.02034,141.0379028,55.86106873,238.0417786,116.1264801,70.71846008,288.118103,136.6589661,147.1795349,161.1950226,456.0830994,220.9806366,45.33862305,42.88053131
2/15/2022,170.4090576,207.0463715,156.510498,190.7954254,217.7299957,193.2992249,213.3030701,49.73537445,122.0298767,153.5091858,337.225769,328.9692078,178.7545929,116.1066742,45.26870346,154.6004333,143.1004181,56.07280731,238.4363098,115.6340942,71.95764923,293.4605103,140.5100098,147.2546844,161.9784698,459.7653198,223.4126587,45.41521454,43.01498413
2/16/2022,170.1723785,205.8629608,158.1004944,191.1809082,218.9299927,193.517807,210.8041687,49.71705246,122.066246,155.1264343,333.6213074,326.0171509,178.3112946,115.4275742,45.07245255,154.5080261,143.3594208,56.06359482,237.759903,114.3773499,71.41204071,293.1180115,141.3882904,148.3720703,162.6109009,461.5149536,224.3933105,45.44927216,42.74606705
2/17/2022,166.552948,204.9568634,154.6524963,188.6077881,213.5800018,185.0602112,199.1459198,51.1100502,121.4391022,151.7530365,323.4380493,324.0149231,174.0954437,111.6657791,44.45566559,153.5654907,140.0575104,57.18671036,235.7307739,110.2961578,70.61670685,284.5348816,137.826828,150.0716705,161.0251007,452.1798706,220.2647552,45.60246658,44.45873642
2/18/2022,164.9946899,204.1155243,152.6015015,187.8079071,209.0299988,182.4088898,195.9700012,52.42972183,121.2663879,150.1754761,320.63974,323.0184937,171.7752991,111.1117859,42.09129715,151.9194336,140.7141876,57.57336044,235.4207306,109.5392914,70.6259613,281.7945251,137.9715729,150.1467896,161.062851,449.7475586,218.3819122,45.81524658,44.1738205
2/22/2022,162.0558014,204.7072449,150.1974945,185.4564514,198.7400055,181.7056732,194.2675781,51.59575272,120.3393173,146.9310455,318.9996033,294.4295349,172.1808624,110.7275696,41.76420975,149.8549194,140.4644623,57.33399963,237.3935547,108.8937149,70.23755646,281.5890198,133.3773804,148.2969513,161.4876099,444.6522217,217.0384216,45.87482452,43.68083572
2/23/2022,157.8643494,204.328186,144.8269958,182.0930634,196.4199982,177.3913269,189.6978455,49.8911705,123.2023926,144.7284241,316.1456299,287.2404175,168.7855377,109.0745239,41.72683334,149.9293213,137.5233002,56.69879532,232.7809448,107.1350861,70.13583374,274.29776,132.0647125,146.4471436,160.6003113,441.8737793,211.7722778,45.45777893,43.23265839
2/24/2022,160.4975586,202.7286987,151.3580017,181.5148926,198.4299927,175.5097504,203.387085,50.15693665,122.5661392,148.2308197,315.2190552,291.7010193,172.9202881,108.9851608,43.6613121,147.0650177,133.6941986,55.70456696,230.1881409,106.6305161,67.9810791,288.3125916,132.3928833,142.5032806,157.1644135,438.2878418,213.0961914,44.75986099,43.06620407
