date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-02-28,905179.5866582337,952427.8926766892,955482.0983736345,938767.2748024673,942565.5681789401,927028.3443183363,926405.4780831301
2022-03-01,889341.2024419251,930308.4657586594,935107.9293379709,925494.7340576858,917834.973662186,914228.1399174177,910069.5748483124
2022-03-02,904097.5680272522,946461.8408196946,957413.3125269129,943346.1956398697,934190.4962223056,926387.8397922653,926371.3111308278
2022-03-03,897139.3289525452,947913.0829690476,959124.3901865274,944260.3704064102,925886.073698807,923297.5804485286,923728.4290363336
2022-03-04,888639.6049992981,939672.7522958298,948631.1817095835,940222.5008461685,914503.9828746798,913804.5514888365,918812.2146034476
2022-03-07,868714.8893620911,922027.2019265671,930126.6936076243,922774.5640900345,885835.846670914,891648.7456611416,897015.8857194713
2022-03-08,859968.2956273499,917932.0295632859,939149.4236414988,923954.2355988235,890891.2737453463,871943.8863893566,891966.2835047968
2022-03-09,877167.9064671936,939727.6409982224,957039.3108027537,934093.1234390945,909666.9431102755,898059.0463933864,909831.7728602878
2022-03-10,870574.3630864563,930487.2258676072,952535.5672152598,929218.1615326614,914383.1738460544,878409.8712071857,906765.4938928623
2022-03-11,866195.4232060852,925419.7677072068,949293.6245234568,926012.2411987991,907180.9354999545,862418.514851792,900482.054696644
2022-03-14,866655.3195378723,926364.7638543625,949622.098865803,922427.5162232132,905147.0398853305,855325.3189249021,900510.754936578
2022-03-15,885228.5034673157,943309.410231926,967351.8401339609,937699.8262818069,922293.0647762301,884919.1528537115,916886.2918360664
2022-03-16,901957.8756444397,957219.096106865,979473.3368113596,950123.1271698684,942071.2019870761,898839.4183906353,931065.8503771758
2022-03-17,912214.0232732239,974248.4617227097,992571.5226100046,959010.5235779495,954934.4887798312,902608.4244169756,942481.9858160682
2022-03-18,918428.2456242981,983209.7672265549,998068.2878573496,963834.9154160232,965426.2594936374,913499.2866331022,949976.0284662647
2022-03-21,907020.0935857239,982451.7852853318,1001824.6827109148,962619.2464783401,959888.83046608,916384.0260320453,944456.2889879092
2022-03-22,915399.2645299378,990900.8361199875,1008282.6838960726,969747.8200981827,971047.5077045443,929912.6383801277,951411.8604698202
2022-03-23,898017.3773686829,980124.9809945603,1003114.2632863733,960586.0211174698,958563.260771561,926291.3193982363,939140.1845452761
2022-03-24,904682.7821233216,990217.9871591111,1013105.1701047289,970199.1394798965,967316.7691295627,938387.9132727403,948691.6243953134
2022-03-25,906705.6379125061,995039.0855935593,1020701.5383940508,977727.3951523514,974466.9993389132,943170.6425503057,952881.8594256782
2022-03-28,909000.5097691956,998529.1866296311,1019787.8609243471,980007.4737122268,977330.4752147677,953317.250439283,955468.981054015
2022-03-29,919892.267551178,1007104.6635125657,1027724.8385488054,987273.3118393631,984466.7113674167,967456.8263280012,964715.9250251334
2022-03-30,913467.6295964661,1004035.8555367966,1027606.8649802782,987336.2457306595,981348.129130173,961419.2508690895,962928.8567519091
2022-03-31,898335.8111607971,992667.7417291184,1014498.0514956552,974546.6485283584,966989.92371254,946916.0732385778,947882.8243004112
2022-04-01,902300.6581914368,993801.6764977952,1016260.9948243754,976976.3597939224,969852.0332973483,952378.9051647126,951707.3362733313
2022-04-04,904451.0470921936,1001887.2680123826,1021699.2083592264,981401.222438118,974920.7613590243,963000.2832630696,954539.3666157715
