date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-07-23,1018272.0984085082,1013051.5314781878,1006389.998260002,1033711.7049250373,1016393.2364068794,1050570.7802257086,1035644.0948610841
2020-07-24,1013716.5079238891,1004826.4368334963,1003426.6919372252,1020344.5041537056,1001311.4830156135,1051704.344061768,1028556.4558237807
2020-07-27,1017105.9877212524,1016366.1938019946,1006406.5802068785,1028081.5239252815,1008635.7333360481,1066695.6497880288,1033021.2077423742
2020-07-28,1011949.3460586547,1013410.4326695559,1002924.4391247022,1023595.723994709,1002019.0685144233,1053085.7913288537,1025035.9736254129
2020-07-29,1010430.0723159789,1019817.7872456667,1008086.3138648184,1025719.0338015327,1001922.6181474495,1063455.6703630814,1031264.7992762773
2020-07-30,1003117.6393936157,1012817.5991276858,1000768.1911331483,1013824.001590229,986490.5928941536,1067964.1239534635,1022482.9846269672
2020-07-31,999054.6996658324,1022510.8094777224,1002482.0537647172,1009933.2942881355,981717.8830400276,1107341.1084132548,1026939.9953856615
2020-08-03,1009115.3971450805,1037395.1892308352,1005296.9479848861,1017913.1155085334,991958.2003808784,1118573.4741693893,1036114.2564843597
2020-08-04,1012418.3888748168,1033888.0311421511,1006247.998807644,1020784.5088801155,991433.7767854499,1122777.5885964662,1042490.7713231009
2020-08-05,1028339.5842788696,1040323.7341374514,1019953.6243256456,1030943.8679690132,1007348.5638833808,1131780.6098428112,1056984.651253157
2020-08-06,1032746.6018569946,1048235.7707585451,1024673.3558783304,1038522.0829386482,1008724.2045579719,1146618.0754378433,1064192.7336312416
2020-08-07,1034796.634236145,1044343.4076451418,1025282.7186129191,1039556.1859507331,1011266.1998620796,1128014.5450816154,1065999.6114241306
2020-08-10,1040789.4914138793,1049692.9112919923,1037671.9251974908,1047474.2627215156,1024789.7225518989,1125084.3859594855,1079906.7569700798
2020-08-11,1039793.3328445434,1040751.1674107668,1038583.553471222,1044632.6953959236,1022233.2668481636,1099707.880149219,1075846.139134447
2020-08-12,1047433.6467178344,1054453.3590687867,1044994.5816902621,1056659.0152964361,1030379.2465616035,1129068.1626599464,1087110.9687682146
2020-08-13,1045617.3589065551,1054860.7520054933,1043049.0957839853,1048656.787600971,1025965.9856439399,1132943.6262009237,1083998.4153390324
2020-08-14,1045856.4855545043,1052969.380850708,1041051.7848886034,1050131.1752123602,1029360.3266511726,1131692.10010219,1085331.2609286963
2020-08-17,1044126.2559402465,1054557.1798466798,1037460.6677903063,1050029.5761027106,1023265.6257196235,1141326.0462333146,1081985.6378715758
2020-08-18,1044403.3974502563,1060418.197157776,1035569.7761813166,1047943.388095356,1021690.9447448616,1164499.8233424886,1079389.9207062367
2020-08-19,1041603.5183914184,1060885.2003621217,1034380.8269519808,1042303.0609049568,1017763.5270769082,1152594.357403458,1076079.2846561102
2020-08-20,1041995.0499160766,1066761.2964314576,1037599.1426021502,1042623.8835100898,1018503.0536729775,1167874.6664895474,1077897.7741888477
2020-08-21,1041060.6328933715,1073438.1248082276,1045282.7091270792,1043725.7607302436,1017440.2104341469,1177701.5381483443,1085304.0909753256
2020-08-24,1057758.5587661741,1083275.8595265504,1063226.9696297343,1054079.505420185,1033772.5783502541,1184909.7404183762,1100000.0
2020-08-25,1066035.6467788694,1098996.4143284913,1062324.9709529001,1065092.659060932,1042991.2191354714,1191651.6116874397,1097664.6742034196
2020-08-26,1102194.794239807,1151697.4174031373,1066052.702191353,1070185.5618242987,1046983.1012613259,1216130.745273849,1100909.282713231
